,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
315,Leandro Bolmaro,MIN,21,18,9,9,160.0,11.4,6.5,10.1,3.1,8.5,13.8,11.5,33.3,16.7,20.9,14.1,22.9,17.2,0.0,6.3,23.4,16.2,7.4
316,P.J. Dozier,DEN,25,18,9,9,340.0,14.7,14.3,16.3,20.3,18.3,9.5,9.8,19.7,20.8,20.5,20.1,12.4,18.3,18.2,11.1,19.8,13.8,14.2
317,P.J. Washington,CHA,23,18,8,10,457.0,17.2,17.0,17.4,23.4,22.3,12.8,13.1,26.6,25.7,25.9,14.6,21.2,16.9,41.5,24.0,22.8,12.2,17.3
318,Troy Brown Jr.,CHI,22,18,13,5,230.0,16.0,16.9,18.3,14.5,21.6,13.5,13.6,19.0,24.2,23.1,14.3,9.9,17.6,5.0,24.2,15.4,18.8,16.1
319,Willie Cauley-Stein,DAL,28,18,10,8,177.0,10.2,11.0,10.3,1.9,1.3,2.1,3.4,34.2,19.1,22.5,11.3,15.2,17.1,30.0,28.6,22.7,6.8,8.7
320,Amir Coffey,LAC,24,17,7,10,212.0,11.2,8.5,11.1,17.5,19.5,27.3,23.6,8.8,14.5,13.6,13.3,7.2,3.0,12.5,6.3,17.8,15.3,12.4
321,Austin Reaves,LAL,23,17,12,5,335.0,11.0,11.9,11.7,17.8,18.3,13.2,11.3,10.9,14.1,13.6,10.3,10.3,6.3,4.4,4.3,22.0,17.2,12.8
322,Chimezie Metu,SAC,24,17,6,11,392.0,18.8,17.9,20.0,20.0,25.8,15.5,15.9,19.3,33.4,30.3,8.2,15.6,20.6,33.3,26.7,17.4,16.0,17.8
323,Jared Butler,UTA,21,17,15,2,73.0,23.6,20.4,25.8,24.0,28.4,13.3,20.0,0.0,18.5,14.8,35.7,23.5,20.0,85.7,14.3,40.5,12.0,19.6
324,Josh Green,DAL,21,17,7,10,126.0,11.5,16.2,13.2,9.1,6.5,2.3,6.7,25.8,17.5,19.4,11.1,9.3,28.6,20.0,13.3,28.8,7.5,13.4
325,KZ Okpala,MIA,22,17,11,6,179.0,14.0,12.5,15.6,10.7,15.2,22.9,21.7,25.0,20.5,21.5,10.1,6.1,12.5,37.5,8.7,27.3,13.7,13.2
326,Pascal Siakam,TOR,27,17,6,11,586.0,25.0,25.5,24.2,12.2,14.0,32.8,34.2,22.1,25.3,24.4,22.7,26.8,11.8,23.3,22.0,22.0,34.0,25.0
327,Willy Hernangomez,NOP,27,17,7,10,239.0,19.7,26.6,19.1,4.2,1.3,28.4,30.5,58.2,41.0,45.7,16.5,22.2,18.2,27.8,21.4,32.0,30.2,24.9
328,Zeke Nnaji,DEN,20,17,10,7,253.0,15.9,16.7,16.1,19.4,15.8,28.3,32.9,42.5,25.5,29.1,5.6,9.4,9.5,27.3,38.1,23.5,21.8,18.3
329,Alize Johnson,CHI,25,16,10,6,121.0,12.3,14.0,11.3,0.0,2.7,9.1,11.7,64.0,31.7,40.9,14.8,25.0,18.8,0.0,27.3,27.8,15.7,11.7
330,Brandon Boston Jr.,LAC,20,16,10,6,202.0,19.7,18.9,21.1,21.8,24.0,28.1,25.6,2.6,17.1,14.0,6.4,15.3,22.7,13.6,41.2,17.9,17.7,20.6
331,Danuel House Jr.,HOU,28,16,7,9,233.0,17.5,14.0,17.2,14.9,18.0,16.2,14.1,10.3,22.8,20.5,16.2,23.4,15.2,18.5,12.5,18.4,12.1,14.5
332,Dennis Smith Jr.,POR,24,16,6,10,278.0,18.1,15.7,16.2,9.1,10.0,18.8,21.1,11.1,16.1,15.0,38.8,29.8,37.5,26.1,26.7,17.1,20.9,15.6
333,Dillon Brooks,MEM,25,16,11,5,451.0,28.9,26.7,30.3,27.1,29.2,31.4,27.5,12.5,13.7,13.4,18.4,26.6,18.4,3.5,27.4,28.8,28.5,27.5
334,Garrison Mathews,HOU,25,16,8,8,461.0,14.7,15.4,16.8,28.0,28.6,21.8,19.7,12.2,14.1,13.7,3.3,4.1,16.7,14.3,11.1,22.0,21.3,18.1
335,Killian Tillie,MEM,23,16,10,6,169.0,14.9,15.5,16.5,26.9,26.1,4.5,5.6,16.7,9.6,11.7,7.6,11.9,25.0,38.1,11.1,29.3,10.9,15.8
336,Markus Howard,DEN,22,16,7,9,116.0,24.6,24.2,27.7,38.3,35.4,20.0,19.0,0.0,7.7,5.6,8.8,21.4,27.3,0.0,37.5,22.0,21.3,26.1
337,Sandro Mamukelashvili,MIL,22,16,10,6,155.0,12.7,15.5,15.1,15.9,16.1,6.3,6.1,51.4,20.4,28.9,15.5,7.4,11.1,30.0,31.3,20.9,13.0,14.6
