,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
415,Jay Scrubb,LAC,21,8,3,5,52.0,23.9,24.4,28.6,36.4,41.2,4.5,6.1,0.0,10.5,8.0,13.8,16.7,14.3,28.6,0.0,13.6,13.6,22.0
416,Jose Alvarado,NOP,23,8,2,6,41.0,13.9,13.5,15.7,16.7,14.7,8.7,10.0,13.3,9.4,10.6,37.5,10.0,50.0,0.0,0.0,18.8,9.5,12.8
417,Joshua Primo,SAS,18,8,5,3,59.0,8.0,10.3,10.0,28.6,27.6,0.0,0.0,7.7,13.5,12.0,12.1,0.0,23.1,66.7,0.0,14.3,5.9,11.2
418,Kevin Knox II,NYK,22,8,2,6,71.0,18.9,21.3,20.6,36.4,26.8,17.2,22.2,31.3,22.0,24.6,9.1,11.1,14.3,0.0,14.3,8.3,14.8,22.8
419,Matt Thomas,CHI,27,8,6,2,49.0,16.7,12.8,22.4,15.4,27.3,0.0,0.0,0.0,12.5,10.2,0.0,0.0,50.0,20.0,66.7,16.7,0.0,11.8
420,Tacko Fall,CLE,26,8,3,5,25.0,12.9,10.0,11.9,0.0,0.0,33.3,55.6,20.0,25.0,23.8,0.0,9.1,0.0,100,100,11.1,50.0,9.8
421,Trendon Watford,POR,21,8,2,6,40.0,17.5,23.3,19.1,0.0,0.0,9.5,10.3,33.3,28.6,30.0,25.0,27.3,20.0,60.0,0.0,13.3,21.1,16.8
422,Isaiah Jackson,IND,19,7,3,4,36.0,19.5,20.8,23.7,0.0,0.0,9.1,13.3,50.0,24.1,29.7,0.0,9.1,20.0,33.3,50.0,60.0,15.4,16.9
423,JT Thor,CHA,19,7,4,3,95.0,11.8,9.9,13.4,12.5,20.3,9.1,14.0,22.2,14.5,16.4,12.8,6.9,23.5,20.0,20.0,29.3,20.9,10.0
424,Jalen Johnson,ATL,20,7,5,2,19.0,22.4,38.5,32.3,40.0,28.6,22.2,18.2,0.0,38.5,35.7,0.0,0.0,0.0,0.0,33.3,0.0,14.3,35.0
425,Marcus Garrett,MIA,23,7,7,0,34.0,7.5,0.0,7.5,0.0,0.0,0.0,8.3,37.5,19.2,23.5,21.1,10.0,20.0,33.3,50.0,31.3,5.9,0.0
426,Sharife Cooper,ATL,20,7,6,1,18.0,25.0,18.2,28.6,0.0,15.4,0.0,0.0,0.0,9.1,9.1,44.4,33.3,0.0,0.0,60.0,14.3,0.0,13.8
427,Skylar Mays,ATL,24,7,5,2,19.0,18.4,30.8,16.1,20.0,14.3,55.6,45.5,0.0,15.4,14.3,8.3,25.0,0.0,0.0,0.0,40.0,57.1,35.0
428,Davon Reed,DEN,26,6,4,2,99.0,9.8,9.7,10.7,10.3,10.0,6.7,5.9,15.4,26.3,24.7,17.8,8.0,34.6,12.5,11.1,17.9,3.2,9.4
429,Elijah Hughes,UTA,23,6,5,1,17.0,10.5,0.0,10.5,0.0,7.1,25.0,22.2,0.0,7.1,6.7,0.0,9.1,0.0,0.0,0.0,16.7,25.0,7.1
430,Gabriel Deck,OKC,26,6,2,4,45.0,12.4,17.6,14.8,7.7,8.3,0.0,0.0,10.0,11.4,11.1,15.0,12.5,25.0,0.0,0.0,18.2,0.0,13.1
431,Sam Merrill,MEM,25,6,2,4,58.0,17.8,17.8,18.9,41.2,35.4,11.8,17.4,4.3,17.1,12.1,13.8,16.7,0.0,0.0,0.0,15.0,22.7,20.2
432,Chandler Hutchison,PHX,25,5,3,2,14.0,15.0,8.3,8.3,0.0,0.0,20.0,15.4,0.0,35.7,27.8,12.5,42.9,0.0,0.0,0.0,14.3,12.5,10.8
433,Devon Dotson,CHI,22,5,2,3,48.0,15.2,17.2,15.8,8.3,13.5,25.0,28.6,11.1,17.9,16.2,21.1,5.9,0.0,0.0,9.1,27.8,19.2,17.8
434,Goran Dragic,TOR,35,5,1,4,90.0,17.2,20.6,20.4,20.0,20.6,29.4,21.3,6.7,21.8,16.5,25.7,3.1,20.8,14.3,11.8,18.2,19.5,22.2
435,Isaiah Todd,WAS,20,5,0,5,14.0,41.4,50.0,47.6,80.0,53.8,12.5,20.0,50.0,10.0,16.7,0.0,33.3,100,33.3,0.0,50.0,16.7,44.8
436,Joel Ayayi,WAS,21,5,0,5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,18.2,42.9,0.0,0.0,0.0,0.0,0.0,25.0,0.0
437,Keon Johnson,LAC,19,5,2,3,23.0,19.3,9.5,17.1,0.0,7.1,31.3,30.0,16.7,11.1,12.5,12.5,20.0,33.3,0.0,0.0,44.4,30.8,14.5
438,Patrick Williams,CHI,20,5,4,1,125.0,9.3,12.4,10.0,11.1,7.8,10.8,9.5,7.1,11.5,10.9,4.3,6.7,12.0,16.7,18.2,25.0,7.7,12.0
439,Paul Watson,OKC,26,5,1,4,78.0,10.3,3.5,10.6,11.8,21.3,4.0,5.7,11.8,18.9,17.1,10.7,11.1,8.3,25.0,8.3,17.2,3.8,4.5
440,Udonis Haslem,MIA,41,5,4,1,23.0,9.8,15.8,13.3,0.0,5.9,0.0,0.0,14.3,29.4,25.0,9.1,0.0,0.0,50.0,50.0,41.7,9.1,12.8
441,Brodric Thomas,BOS,24,4,2,2,8.0,14.3,0.0,7.7,0.0,14.3,0.0,0.0,50.0,0.0,11.1,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0
442,David Duke Jr.,BKN,22,4,3,1,101.0,14.6,11.1,16.4,3.8,13.5,8.5,8.9,27.8,16.0,19.8,12.2,7.1,36.4,25.0,40.0,26.7,10.0,9.9
443,Eugene Omoruyi,DAL,24,4,1,3,18.0,15.6,14.3,18.5,50.0,22.2,20.0,22.2,40.0,38.5,38.9,25.0,0.0,0.0,0.0,0.0,40.0,14.3,17.5
444,Kessler Edwards,BKN,21,4,3,1,88.0,14.2,17.5,15.8,26.1,20.3,0.0,0.0,23.3,17.1,18.9,10.5,12.1,23.1,0.0,0.0,14.3,0.0,16.6
445,Louis King,SAC,22,4,1,3,52.0,19.5,17.9,22.0,36.4,33.3,27.3,22.6,0.0,20.0,15.6,5.6,0.0,28.6,0.0,10.0,33.3,22.7,21.6
446,Malik Fitts,UTA,24,4,4,0,10.0,4.2,0.0,7.7,0.0,0.0,0.0,0.0,0.0,21.4,21.4,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
447,Udoka Azubuike,UTA,22,4,3,1,8.0,11.8,25.0,9.1,0.0,0.0,0.0,0.0,50.0,42.9,44.4,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0
448,Wesley Matthews,MIL,35,4,3,1,56.0,9.6,8.7,11.8,11.1,17.8,0.0,4.0,7.1,9.3,8.8,4.0,9.1,20.0,12.5,20.0,19.4,14.3,6.7
449,Yves Pons,MEM,22,4,3,1,14.0,8.8,12.5,12.5,50.0,12.5,0.0,0.0,20.0,15.4,16.7,0.0,0.0,0.0,0.0,50.0,11.1,0.0,15.8
450,Duane Washington Jr.,IND,21,3,2,1,7.0,22.2,40.0,33.3,50.0,50.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5
451,Jamorko Pickett,DET,23,3,0,3,9.0,10.5,16.7,7.7,50.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,17.6
452,Jeff Dowtin,GSW,24,3,3,0,10.0,17.4,20.0,23.5,0.0,0.0,0.0,0.0,0.0,22.2,22.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,15.4
453,Joe Wieskamp,SAS,22,3,2,1,8.0,6.3,14.3,8.3,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,15.0
454,Keljin Blevins,POR,26,3,1,2,14.0,16.7,18.2,16.7,50.0,37.5,0.0,0.0,0.0,14.3,10.0,20.0,33.3,0.0,0.0,0.0,0.0,0.0,18.8
455,Marko Simonovic,CHI,22,3,1,2,12.0,27.6,0.0,23.8,0.0,23.1,50.0,40.0,50.0,10.0,16.7,0.0,100,0.0,0.0,25.0,0.0,37.5,13.6
456,Sam Hauser,BOS,24,3,3,0,7.0,15.0,33.3,27.3,100,42.9,0.0,0.0,0.0,50.0,33.3,0.0,0.0,50.0,0.0,0.0,20.0,0.0,42.9
457,Vit Krejci,OKC,21,3,1,2,9.0,15.4,0.0,10.0,0.0,20.0,100,50.0,0.0,42.9,30.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,13.3
458,Cassius Winston,WAS,23,2,0,2,7.0,26.7,0.0,20.0,0.0,28.6,40.0,33.3,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,33.3,13.3
459,David Johnson,TOR,20,2,2,0,2.0,14.3,0.0,25.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Didi Louzada,NOP,22,2,0,2,7.0,18.8,0.0,20.0,0.0,33.3,0.0,0.0,100,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,JaQuori McLaughlin,DAL,23,2,1,1,5.0,6.7,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,Jay Huff,LAL,24,2,0,2,13.0,3.1,0.0,4.0,0.0,6.7,0.0,0.0,50.0,5.9,10.5,16.7,0.0,25.0,0.0,0.0,20.0,0.0,0.0
463,RJ Nembhard Jr.,CLE,22,2,0,2,3.0,11.1,50.0,16.7,0.0,0.0,0.0,0.0,0.0,50.0,33.3,100,0.0,0.0,0.0,0.0,0.0,0.0,33.3
464,Robert Woodard II,SAC,22,2,0,2,5.0,11.1,0.0,0.0,0.0,0.0,28.6,22.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,28.6,16.7
465,Scottie Lewis,CHA,21,2,1,1,7.0,5.9,0.0,0.0,0.0,0.0,25.0,33.3,0.0,0.0,0.0,33.3,0.0,25.0,0.0,0.0,0.0,25.0,6.7
466,Sekou Doumbouya,LAL,20,2,0,2,16.0,28.6,35.7,25.0,20.0,11.8,50.0,57.1,40.0,20.0,24.0,0.0,28.6,60.0,66.7,50.0,25.0,37.5,35.9
467,Tyler Cook,CHI,24,2,0,2,17.0,15.4,13.3,14.3,0.0,0.0,28.6,20.0,0.0,28.6,20.0,33.3,16.7,0.0,0.0,50.0,12.5,14.3,14.3
468,Vernon Carey Jr.,CHA,20,2,2,0,12.0,21.2,27.3,23.1,0.0,0.0,100,100,40.0,12.5,23.1,0.0,33.3,50.0,0.0,0.0,20.0,50.0,29.2
469,Aaron Henry,PHI,22,1,1,0,2.0,14.3,0.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Admiral Schofield,ORL,24,1,0,1,12.0,11.5,10.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,100,16.7,0.0,7.7
471,Aleem Ford,ORL,23,1,0,1,7.0,18.8,14.3,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,10.0
472,Alfonzo McKinnie,CHI,29,1,0,1,29.0,10.4,14.3,12.8,22.2,13.0,0.0,0.0,0.0,0.0,0.0,10.0,9.1,0.0,33.3,0.0,22.2,6.3,12.5
473,Arnoldas Kulboka,CHA,23,1,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,BJ Johnson,ORL,25,1,0,1,20.0,10.6,11.1,12.5,14.3,12.5,0.0,0.0,66.7,20.0,30.8,0.0,0.0,0.0,50.0,0.0,44.4,0.0,11.6
475,Brook Lopez,MIL,33,1,1,0,28.0,12.9,11.1,14.5,28.6,16.7,0.0,0.0,18.2,15.0,16.1,0.0,0.0,50.0,50.0,40.0,23.1,0.0,11.8
476,Chaundee Brown Jr.,LAL,23,1,0,1,15.0,16.7,0.0,23.1,0.0,21.4,0.0,0.0,0.0,6.7,6.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
477,Daishen Nix,HOU,19,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,DeJon Jarreau,IND,23,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Devontae Cacok,SAS,25,1,1,0,2.0,33.3,50.0,33.3,0.0,0.0,0.0,0.0,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0
480,Gary Clark,NOP,27,1,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Hassani Gravett,ORL,25,1,0,1,24.0,13.2,11.1,11.6,25.0,22.2,0.0,0.0,0.0,13.3,10.5,25.0,28.6,0.0,0.0,50.0,36.4,20.0,13.0
482,Isaiah Livers,DET,23,1,0,1,5.0,27.3,0.0,22.2,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100,33.3,100,0.0,33.3,0.0,0.0
483,Isaiah Thomas,LAL,32,1,0,1,22.0,34.6,33.3,31.6,25.0,27.3,50.0,52.9,0.0,13.3,13.3,7.7,28.6,0.0,100,25.0,10.0,33.3,36.5
484,Jaden Springer,PHI,19,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,Langston Galloway,BKN,30,1,1,0,9.0,13.0,16.7,11.8,50.0,33.3,0.0,0.0,0.0,12.5,8.3,0.0,20.0,0.0,0.0,0.0,0.0,60.0,21.4
486,McKinley Wright IV,MIN,23,1,1,0,4.0,18.2,33.3,14.3,100,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,33.3
487,Neemias Queta,SAC,22,1,0,1,8.0,17.4,0.0,25.0,0.0,0.0,0.0,0.0,60.0,33.3,45.5,100,0.0,0.0,50.0,0.0,50.0,16.7,0.0
488,Onyeka Okongwu,ATL,21,1,0,1,14.0,18.2,40.0,21.1,0.0,0.0,22.2,20.0,0.0,33.3,28.6,0.0,12.5,100,0.0,0.0,50.0,16.7,32.3
489,Sam Dekker,TOR,27,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,Wayne Selden,NYK,27,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
